m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,ell_a_m,dtheta_min_rad,dtheta_min_deg,is_resolved,signature
0.010514895768547274,1.4335887393495772e-08,91.2,720131989933.2904,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.5686668766555662e-08,91.2,601450393300.4446,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.7164725854590364e-08,91.2,502328157418.433,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.8782051055441137e-08,91.2,419541795210.61523,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.0551766735899143e-08,91.2,350399067480.3574,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.248823170164092e-08,91.2,292651430424.1552,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.4607157699163296e-08,91.2,244420912262.0022,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.6925736894969312e-08,91.2,204139040989.4896,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,2.946278136632423e-08,91.2,170495837162.40448,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.2238875735356674e-08,91.2,142397212942.74948,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.527654418491975e-08,91.2,118929392009.42584,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,3.860043321131745e-08,91.2,99329193257.58342,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.2237511596681054e-08,91.2,82959211902.97847,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,4.621728922349764e-08,91.2,69287090872.8324,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,5.0572056506668873e-08,91.2,57868208382.1454,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,5.533714638576026e-08,91.2,48331218689.864876,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,6.055122100314914e-08,91.2,40365975815.630615,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,6.625658539406892e-08,91.2,33713447492.474648,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,7.249953073371101e-08,91.2,28157291353.965813,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,7.933070992636506e-08,91.2,23516819410.684345,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,8.68055485839824e-08,91.2,19641122018.537014,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,9.498469472869089e-08,91.2,16404160248.464272,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.0393451086797692e-07,91.2,13700667059.820965,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.1372761243504492e-07,91.2,11442723982.267614,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.244434569630598e-07,91.2,9556901978.762049,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.3616898877360868e-07,91.2,7981873509.594675,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.4899934441013796e-07,91.2,6666418141.020022,0.00046117963284094944,0.0264236465591793,False,invisible
