channel,observable,bin_low_GeV,bin_high_GeV,raw_entries,bkg_events,source_root
resolved_prompt,mgg_GeV,44.84,45.22,57,6246886.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,45.22,45.6,67,7342831.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,45.6,45.980000000000004,62,6794859.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,45.980000000000004,46.36,55,6027697.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,46.36,46.74,70,7671615.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,46.74,47.12,77,8438776.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,47.12,47.5,50,5479725.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,47.5,47.88,64,7014048.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,47.88,48.26,44,4822158.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,48.26,48.64,65,7123642.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,48.64,49.02,54,5918103.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,49.02,49.4,51,5589319.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
